counter_id,category,oznaka_ceste,naziv,od,do,length_km,lat,lon
5333,LC,LCner.,Srima,DC8,DC8,5.0,,
3037,LC,LCner.,Ogulin,DC42,DC42,1.6,,
2823,AC,AC7,Rujevica - zapad,AC8,DC427,6.0,,
5435,LC,LC67065,Solin Donja Strana,DC8,ŽC6253,3.4,,
5533,LC,LC67075,Klis Kosa,ŽC6253,ŽC6253,7.6,,
5534,LC,LC67076,Podi,DC56,ŽC6260,5.9,,
2014,LC,LCner.,Velika Mlaka,V. Mlaka,V. Gorica,2.0,,
6109,LC,LC69012,Krvavac,LC69013,ŽC6220,1.8,43.04085,17.6342
6108,LC,LC69010,Opuzen,DC8,ŽC6219,2.3,43.01317,17.54983
5924,LC,LC67194,Pitve,LC67190,DC116,1.8,43.15632,16.68077
5531,LC,LC67040,Sinj - jugoistok,DC1,ŽC6289,8.2,43.69792,16.66028
5530,LC,LC67029,Zelovo,LC67010,DC1,6.6,43.76092,16.59753
5434,LC,LC67020,Trolokve,ŽC6112,LC67056,5.8,43.63518,16.25042
5331,LC,LC65076,Draga,ŽC6127,LC65075,4.2,43.6003,15.9704
5334,LC,LC65075,Primošten,DC8,LC65076,2.4,43.58697,15.9356
5429,LC,LC65050,Drniš - istok,LC65051,DC33,0.3,43.8604,16.15888
5009,LC,LC65011,Knin,ŽC6080,LC65010,1.0,44.05188,16.21325
5201,LC,LC63176,Biograd,DC503,ŽC6063,3.2,43.93377,15.45393
4832,LC,LC63104,Debeljak,ŽC6041,ŽC6040,2.1,,
5008,LC,LC63013,Kruškovače,ŽC5203,Gr. BiH,9.7,44.37532,16.1345
4701,LC,LC63003,Kolan,LC63002,LC63004,2.6,,
4109,LC,LC59077,Caska,DC106,Metajna,10.6,44.55475,14.91132
4901,DC,DC1,Mutilić (Udbina),ŽC5195,LC59117,7.9,44.496942,15.763978
4304,DC,DC1,Jošan,LC59064,ŽC5195,12.3,44.580312,15.744271
4309,DC,DC1,Korenica,DC52,LC59045,2.4,44.763316,15.691754
4302,DC,DC1,Prijeboj - jug,DC429,LC59045,7.9,44.82998,15.67352
4308,DC,DC1,Prijeboj - sjeveroistok,LC59027,DC429,9.3,44.842105,15.674561
4313,DC,DC1,Sadilovac,LC34160,LC59136,6.7,44.92992,15.70092
3106,DC,DC1,Slunj,LC34140,ŽC3258,4.7,45.125623,15.574179
3105,DC,DC1,Blagaj,LC34120,LC34140,11.4,45.222804,15.55605
3101,DC,DC1,Tušilović,DC3,DC6,14.5,45.40067,15.613074
3126,DC,DC1,Turanj obilaznica,DC552,DC6,12.2,45.45197,15.58553
3114,DC,DC1,Karlovac,DC228,DC3,3.9,,
1954,DC,DC1,Lug - jug,ŽC3146,DC228,5.7,45.54327,15.56995
1928,DC,DC1,Izimje,ŽC3102,LC31136,2.5,45.63189,15.608176
1929,DC,DC1,Klinča Sela,DC543,LC31143,1.7,45.690829,15.733237
1935,DC,DC1,Gornji Stupnik,LC31102,ŽC3061,1.9,45.754815,15.822892
1937,DC,DC1,Pojatno,ŽC3036,ŽC2262,4.0,45.90432,15.81248
1244,DC,DC2,Trnovec Bartolovečki,ŽC2053,LC25082,1.8,46.297936,16.420761
1210,DC,DC2,Varaždin - jug,DC528,DC3,4.9,,
1266,DC,DC2,Poljana Biškupečka,ŽC2050,DC528,4.2,46.2684,16.34303
1235,DC,DC2,Hrašćica,ŽC2037,DC35,6.8,46.315776,16.291403
1208,DC,DC2,Majerje,ŽC2046,ŽC2037,2.5,46.33703,16.2524
1203,DC,DC2,Dubrava Križovljanska,LC25001,ŽC2027,1.6,46.379808,16.063727
5441,DC,DC1,Dračevac,DC56,DC8,8.7,,
5523,DC,DC1,Dugopolje,AC1,DC56,3.6,,
5526,DC,DC1,Dicmo,ŽC6119,ŽC6120,0.9,43.641,16.599405
5504,DC,DC1,Brnaze,DC60,LC67041,1.7,43.679316,16.649053
5524,DC,DC1,Sinj,ŽC6118,DC219,3.3,43.720748,16.641355
5418,DC,DC1,Kijevo,LC65013,LC65016,2.7,43.983669,16.352127
5010,DC,DC1,Stara Straža,DC59,LC65004,2.3,44.05843,16.16937
5002,DC,DC1,Pađene,LC65008,DC59,3.2,44.056366,16.146651
4907,DC,DC1,Gračac - istok,DC27,LC63033,3.4,44.298884,15.863217
4929,DC,DC1,Gračac - sjever,LC63032,DC27,2.1,,
2406,DC,DC2,Bizovac - zapad,ŽC4067,ŽC4060,0.4,45.59166,18.4573
2407,DC,DC2,Našice,LC44044,LC44045,1.7,45.525098,18.140254
3635,DC,DC2,Martin,DC53,ŽC4077,1.4,45.493136,18.080812
2408,DC,DC2,Feričanci - istok,ŽC4058,ŽC4075,2.4,,
2305,DC,DC2,Čačinci - jug,ŽC4063,LC40085,3.7,45.585871,17.887112
2307,DC,DC2,Slatina obilaznica,ŽC4296,ŽC4025,4.8,45.7225,17.6726
2302,DC,DC2,Cabuna,LC40034,LC40036,2.9,45.749072,17.589238
2203,DC,DC2,Virovitica,DC5,DC538,11.9,45.819035,17.425193
2217,DC,DC2,Pitomača - istok,ŽC4002,LC40005,5.4,45.943173,17.239203
2201,DC,DC2,Kloštar Podravski,ŽC2185,LC40001,3.6,45.9793,17.16465
1403,DC,DC2,Đurđevac,ŽC2247,LC26112,3.3,46.027616,17.074317
1405,DC,DC2,Đurđevac - zapad,LC26102,ŽC2247,4.3,,
1312,DC,DC2,Plavšinac,LC26034,LC26100,1.6,46.096874,16.928907
1323,DC,DC2,Koprivnica - jug,DC41,DC41,2.9,46.14937,16.8141
1308,DC,DC2,Ludbreg - istok,LC25187,LC25187,0.75,46.2409,16.6311
1307,DC,DC2,Ludbreg - zapad,LC25094,ŽC2075,1.9,46.261976,16.581056
2032,DC,DC3,Belovar,ŽC3010,DC29,4.6,,
2003,DC,DC3,Blažev Dol,LC31036,ŽC3016,1.2,45.93017,16.23431
1245,DC,DC3,Paka,ŽC2134,ŽC2171,2.1,46.11868,16.29383
1270,DC,DC3,Novi Marof obilaznica,ŽC2269,ŽC2136,1.9,46.17943,16.34636
1205,DC,DC3,Pušćine,DC208,LC20048,3.4,46.363663,16.369642
1256,DC,DC3,Nedelišće - centar,DC209,ŽC2015,1.9,46.3768,16.38268
1234,DC,DC3,Čakovec,DC20,DC209,6.9,46.375258,16.464133
1315,DC,DC3,Štefanec,ŽC2022,DC20,3.3,,
1339,DC,DC3,Hodošan - zapad,ŽC2034,ŽC2033,2.7,46.38503,16.63537
3809,DC,DC2,Ilok,LC46037,ŽC4200,2.1,45.214702,19.394997
3801,DC,DC2,Sotin,DC57,LC46016,14.8,45.300584,19.090856
3723,DC,DC2,Vukovar,DC55,DC57,4.3,,
3701,DC,DC2,Klisa aerodrom - sjever,LC44115,DC418,1.3,45.492108,18.813362
2523,DC,DC2,Osijek juž. obil. Bosutsko,Mandića,Vinkovačka,1.2,,
2508,DC,DC2,Osijek južna obilaznica,DC7,Mandića,2.4,,
2522,DC,DC2,Osijek juž. obil. Višnjevac,AC5,DC7,5.6,,
3411,DC,DC5,Filipovac,LC41014,DC5,2.8,45.42091,17.17589
2213,DC,DC5,Badljevina,ŽC3272,LC41002,0.4,45.51227,17.192326
2230,DC,DC5,Doljani,ŽC3170,ŽC3172,2.3,45.5825,17.22197
2206,DC,DC5,Končanica - zapad,LC37118,ŽC3138,2.3,45.641916,17.161156
2205,DC,DC5,Grubišno Polje,ŽC3094,ŽC3139,2.7,45.70023,17.16725
2215,DC,DC5,Virovitica obilaznica jug,DC2,DC2,4.2,45.834484,17.350603
2214,DC,DC5,Virovitica obilaznica sj.,DC538,DC2,6.1,45.848676,17.370312
2202,DC,DC5,Terezino Polje,LC40008,LC40009,0.75,45.937227,17.461143
2842,DC,DC3,Orehovica,AC6,DC8,2.3,45.33368,14.45792
2935,DC,DC3,Gornje Jelenje,ŽC5032,DC501,0.5,45.36429,14.624004
2905,DC,DC3,Delnice,LC58116,DC32,0.9,45.391458,14.792988
2937,DC,DC3,Skrad,LC58030,LC58102,6.5,,
3005,DC,DC3,Vrbovsko,LC58032,DC42,8.3,45.391432,15.10519
3032,DC,DC3,Lišnica,LC34065,LC34064,1.4,45.45473,15.45518
3003,DC,DC3,Duga Resa,DC1,DC23,6.7,45.459292,15.492428
2063,DC,DC3,Popovec,DC29,AC4,1.8,,
3705,DC,DC7,Vuka,ŽC4107,LC44107,2.5,45.460172,18.516707
2512,DC,DC7,Čepin,DC2,DC4247,3.5,45.545049,18.612394
2513,DC,DC7,Osijek sj. obilaznica,DC426,DC2,1.0,45.561664,18.630554
2505,DC,DC7,Čeminac - sjever,LC44010,ŽC4054,3.9,,
2503,DC,DC7,Karanac (Beli Manastir),DC520,DC212,3.7,45.75026,18.640507
2501,DC,DC7,Duboševica,GP,ŽC4011,1.0,45.886875,18.660417
3210,DC,DC6,Trgovi,ŽC3234,LC33167,1.4,45.109851,16.28114
3206,DC,DC6,Maja,LC33094,LC33196,2.5,,
3102,DC,DC6,Gvozd - zapad,LC33075,ŽC3186,0.8,45.350705,15.857179
3108,DC,DC6,Okić - zapad,DC1,DC216,10.7,,
1809,DC,DC6,Netretić,DC541,ŽC3141,1.9,,
1802,DC,DC6,Ribnik,LC34007,ŽC3140,4.2,,
1806,DC,DC6,Jurovski Brod,DC228,LC34005,0.6,45.630308,15.321817
3410,DC,DC5,Stara Gradiška,ŽC4226,ŽC4227,1.0,45.154367,17.23924
3412,DC,DC5,Okučani,ŽC4241,ŽC4158,0.8,45.257745,17.206067
3406,DC,DC5,Cage,LC42001,ŽC3252,7.5,45.29477,17.20727
4802,DC,DC8,Starigrad (Paklenica),LC63153,ŽC6008,1.5,44.286073,15.451318
4207,DC,DC8,Karlobag,DC25,LC63025,35.6,44.525497,15.077944
4218,DC,DC8,Cesarica,DC406,DC25,13.0,,
4107,DC,DC8,Prizna - sjever,LC59048,DC406,25.0,,
4105,DC,DC8,Vlaka,LC59028,LC49148,18.9,44.749404,14.904263
4102,DC,DC8,Sveti Juraj,DC23,ŽC5126,8.1,,
2929,DC,DC8,Sibinj Krmpotski,ŽC5109,LC59001,13.3,45.052764,14.872272
2928,DC,DC8,N. Vinodolski - sjever,ŽC5062,DC99,5.6,45.13573,14.76227
2923,DC,DC8,Crikvenica,ŽC5091,ŽC5091,3.1,45.185064,14.684426
2917,DC,DC8,Kostrena,LC58054,DC40,2.2,45.294186,14.530478
2809,DC,DC8,Pavlovac,DC66,DC403,10.6,,
2804,DC,DC8,Mučići,ŽC5016,LC58015,0.9,45.405158,14.305749
2801,DC,DC8,Pasjak,LC58011,AC7,3.9,45.479862,14.257832
3615,DC,DC7,Sikirevci - jug,ŽC4220,LC42049,4.3,45.086638,18.483105
3606,DC,DC7,Vrpolje,LC44138,ŽC4202,2.9,45.211314,18.404239
3634,DC,DC7,Đakovo obilaznica,DC515,AC5,0.8,45.32882,18.39227
5916,DC,DC8,Omiš - zapad,LC67120,DC70,0.7,43.44573,16.688154
5902,DC,DC8,Jesenice,ŽC6162,LC67112,2.7,43.464737,16.587021
5422,DC,DC8,Stobreč,DC410,ŽC6142,4.2,,
5423,DC,DC8,Solin,LC67065,ŽC6139,1.8,,
5438,DC,DC8,Plano,DC58,DC409,5.6,,
5407,DC,DC8,Marina,LC65078,ŽC6130,3.6,43.513627,16.104731
5325,DC,DC8,Primošten - jug,LC65075,LC65076,4.9,43.57035,15.94495
5309,DC,DC8,Grebaštica,Jasenovo,LC65075,15.6,43.643337,15.955383
5336,DC,DC8,Ražine,DC58,Ražinska Ul.,2.4,43.70322,15.90723
5308,DC,DC8,Šibenik,DC27,Ul. Kralja Zvonimira,5.0,43.7571,15.877301
5335,DC,DC8,Vodice obilaznica,ŽC6086,DC27,5.8,43.775339,15.773968
5305,DC,DC8,Pirovac,ŽC6068,DC59,2.9,43.812294,15.695817
4814,DC,DC8,Sukošan,ŽC6040,ŽC6045,7.2,,
4825,DC,DC8,Bibinje,DC424,ŽC6039,2.8,44.085508,15.283564
4810,DC,DC8,Murvica,ŽC6011,DC306,5.8,44.141606,15.315038
4925,DC,DC8,Posedarje - istok,LC63028,LC63063,3.2,,
6104,DC,DC9,Kula Norinska,LC69013,LC69012,2.2,43.034301,17.616238
6103,DC,DC9,Metković,GP,DC62,1.0,,
6604,DC,DC8,Gruda - jugoistok,ŽC6241,DC516,2.6,42.514553,18.376278
6602,DC,DC8,Kupari,LC69050,LC69050,2.7,42.622532,18.181887
6608,DC,DC8,Vidikovac,DC420,DC223,7.8,42.63443,18.1365
6601,DC,DC8,Zaton,LC69067,DC420,26.5,42.691461,18.038306
6506,DC,DC8,Doli,LC69045,LC69082,7.6,42.81003,17.8046
