counter_id,category,oznaka_ceste,naziv,od,do,length_km,lat,lon,matched_oznaka_ceste,kategorija_full,seg_id,dist_m,match_method,confidence
1001,DC,DC209,Mursko Središće,ŽC2006,LC20019,3.0,46.504034,16.431542,DC209,državna cesta,999,6.958881627932172,exact_road_name,high
1101,DC,DC1,Macelj,ŽC2258,LC22001,3.0,46.259363,15.860228,DC1,državna cesta,71,3.0239802642336397,exact_road_name,high
1102,ZC,ŽC2258,Pleš (Bednja),LC25012,LC25105,2.4,46.23802,15.9636,ŽC2258,županijska cesta,1534,2.4475737762539613,exact_road_name,high
1104,DC,DC1,Đurmanec,DC207,DC206,4.7,46.193698,15.843882,DC1,državna cesta,15,0.20814415038906547,exact_road_name,high
1122,DC,DC1,Čveki,DC35,ŽC2159,2.5,46.082966,15.91693,DC1,državna cesta,34,1.2296003137777636,exact_road_name,high
1123,DC,DC35,Gornja Šemnica,ŽC2125,ŽC2122,1.6,46.149188,15.946566,DC35,državna cesta,3247,2.8060038265751492,exact_road_name,high
1124,DC,DC207,Hromec,GP,ŽC2096,5.3,46.208538,15.795952,DC207,državna cesta,926,0.32474062906207984,exact_road_name,high
1126,DC,DC74,Bednja,LC25105,LC25108,3.7,46.2228,15.99317,DC74,državna cesta,7459,9.664758998951774,exact_road_name,high
1127,DC,DC229,Zagorska Sela,LC22025,DC205,4.0,46.09557,15.63498,DC229,državna cesta,1572,1.2548940582050028,exact_road_name,high
1129,DC,DC507,Martinišće,LC22041,DC205,2.0,46.03218,15.85315,DC507,državna cesta,5101,6.850682064459678,exact_road_name,high
1130,ZC,ŽC2125,Mihovljan - zapad,LC22015,ŽC2126,1.5,46.14488,15.9628,ŽC2125,županijska cesta,1083,2.1772243715351767,exact_road_name,high
1131,ZC,ŽC2042,Cvetlin,G.P.,ŽC2056,1.8,46.28687,15.95678,ŽC2042,županijska cesta,849,3.2683874606437224,exact_road_name,high
1143,DC,DC14,Mokrice,DC307,ŽC2197,4.1,46.01435,15.91955,DC14,državna cesta,404,7.596627007621219,exact_road_name,high
1145,DC,DC14,Bedekovčina,ŽC2197,ŽC2198,5.4,46.01912,15.96018,DC14,državna cesta,404,6.197350565677267,exact_road_name,high
1146,DC,DC1,Sveti Križ Začretje,ŽC2158,ŽC2195,6.0,46.07782,15.91342,DC1,državna cesta,34,4.038900152183823,exact_road_name,high
1147,DC,DC677,Lepajci,LCepajci,ŽC2160,3.3,46.112794,15.891711,DC677,državna cesta,9060,2.3231484873332935,exact_road_name,high
1149,DC,DC205,Jezero Klanječko,DC507,ŽC2195,1.1,46.02178,15.85212,DC205,državna cesta,857,5.002764611416332,exact_road_name,high
1201,DC,DC209,Šenkovec,LC20079,DC227,4.0,46.412245,16.423313,DC209,državna cesta,999,1.404239863858298,exact_road_name,high
1202,DC,DC208,Trnovec,GP,LC20056,1.4,46.38379,16.307342,DC208,državna cesta,973,4.7079894426284925,exact_road_name,high
1203,DC,DC2,Dubrava Križovljanska,LC25001,ŽC2027,1.6,46.379808,16.063727,DC2,državna cesta,511,0.410550991924392,exact_road_name,high
1205,DC,DC3,Pušćine,DC208,LC20048,3.4,46.363663,16.369642,DC3,državna cesta,2150,0.11907829208689873,exact_road_name,high
1208,DC,DC2,Majerje,ŽC2046,ŽC2037,2.5,46.33703,16.2524,DC2,državna cesta,511,6.851070885608762,exact_road_name,high
1213,DC,DC35,Greda,LC25042,ŽC2063,1.8,46.270598,16.208827,DC35,državna cesta,3246,3.6310807682669424,exact_road_name,high
1216,DC,DC35,Kaniža - zapad,LC25190,ŽC2102,1.1,46.22442,16.08235,DC35,državna cesta,3246,8.869948365364785,exact_road_name,high
