cesta,counter_id,naziv,pocetak,kraj,v_max_dop,v_avg_smjer1,v_avg_smjer2,v85_smjer1,v85_smjer2,year,v_avg,v85_avg
DC1,1101,Macelj,W’’@?,D207,60,77.0,83.0,88.0,95.0,2021,80.0,91.5
DC1,1104,"X(cid:5)(cid:4)""(cid:3)(cid:19)(cid:9)!",D207,D206,60,79.0,80.0,92.0,92.0,2021,79.5,92.0
DC1,1122,Y(cid:15)(cid:9)(cid:22)(cid:7),D35,W’)@?,50,63.0,66.0,72.0,75.0,2021,64.5,73.5
DC1,1146,&(cid:15)(cid:9)(cid:8)(cid:7)(cid:18)9(cid:4)(cid:7)(cid:28)(cid:18)(cid:17)(cid:3)(cid:6)(cid:4)(cid:9)(cid:8)(cid:11)(cid:9),W’)@?,W’)[@,50,61.0,64.0,71.0,75.0,2021,62.5,73.0
DC1,1927,;(cid:9)(cid:10)(cid:7)(cid:22)(cid:20)(cid:18)(cid:27)(cid:4)#(cid:20)(cid:15)(cid:7)(cid:16)(cid:31)(cid:9),D307,W’’)5,90/60,81.0,82.0,92.0,92.0,2021,81.5,92.0
DC1,1937,Pojatno,W\(\],A2,60,84.0,86.0,95.0,95.0,2021,85.0,95.0
DC1,1935,Gornji Stupnik,L31102,W\(]),50,71.0,76.0,82.0,88.0,2021,73.5,85.0
DC1,1929,9(cid:10)(cid:7)(cid:19)(cid:6)(cid:3)(cid:18)&(cid:9)(cid:10)(cid:3),W\)(],L31143,50,64.0,65.0,72.0,75.0,2021,64.5,73.5
DC1,1928,Izimje,W\)(’,L31136,50,70.0,70.0,80.0,82.0,2021,70.0,81.0
DC1,1954,Lug - jug,W\)Q],D228,50,65.0,69.0,75.0,78.0,2021,67.0,76.5
DC1,3114,Karlovac (smjer Slunj),D228,D3,70,66.0,73.0,77.0,84.0,2021,69.5,80.5
DC1,3114,Karlovac (smjer Jastrebarsko),D3,D228,70,71.0,61.0,86.0,73.0,2021,66.0,79.5
DC1,3101,(cid:27)(cid:5)(cid:16)(cid:7)(cid:10)(cid:20)(cid:15)(cid:7)(cid:31),W\)??,L34082,70,72.0,77.0,80.0,88.0,2021,74.5,84.0
DC1,3105,Blagaj,L34120,L34140,80,76.0,83.0,86.0,95.0,2021,79.5,90.5
DC1,3106,Slunj,L34140,W\’@?,60,69.0,70.0,78.0,82.0,2021,69.5,80.0
DC1,4313,Sadilovac,L34160,L59136,40,78.0,71.0,90.0,84.0,2021,74.5,87.0
DC1,4308,Prijeboj - sjeveroistok,L59027,W@’(),80,96.0,102.0,112.0,120.0,2021,99.0,116.0
DC1,4309,Korenica,D52,L59045,70,68.0,74.0,78.0,82.0,2021,71.0,80.0
DC1,4304,^(cid:20)(cid:16)(cid:3)(cid:19),L59064,W@)[@,80,83.0,92.0,95.0,106.0,2021,87.5,100.5
DC1,4901,_(cid:5)(cid:8)(cid:7)(cid:10)(cid:7)(cid:31)(cid:18)+%(cid:21)(cid:25)(cid:7)(cid:19)(cid:3)*,L59101,L59117,80,93.0,96.0,106.0,112.0,2021,94.5,109.0
DC1,4907,‘(cid:4)(cid:3)(cid:6)(cid:3)!(cid:18)a(cid:18)(cid:7)(cid:23)(cid:8)(cid:20)(cid:22),D27,L63033,50,70.0,74.0,80.0,88.0,2021,72.0,84.0
DC1,5002,",(cid:3)$(cid:9)(cid:19)(cid:9)",L65008,D59,90,90.0,89.0,106.0,104.0,2021,89.5,105.0
DC1,5010,&(cid:8)(cid:3)(cid:4)(cid:3)(cid:18)&(cid:8)(cid:4)(cid:3)(cid:28)(cid:3),D59,L65004,90,91.0,98.0,109.0,116.0,2021,94.5,112.5
DC1,5418,Kijevo,W](@?,W](?\,60,80.0,78.0,95.0,92.0,2021,79.0,93.5
DC1,5524,Sinj,W]))?,D219,50,70.0,74.0,80.0,84.0,2021,72.0,82.0
DC1,5504,Brnaze,D60,L67041,50,63.0,61.0,73.0,69.0,2021,62.0,71.0
DC1,5526,Dicmo,W]))],W])’(,60,69.0,72.0,78.0,82.0,2021,70.5,80.0
DC1,5523,Dugopolje (smjer Split),A1,D56,90,88.0,112.0,103.0,125.0,2021,100.0,114.0
DC1,5523,Dugopolje (smjer A1),D56,A1,90,97.0,107.0,112.0,120.0,2021,102.0,116.0
DC1,5441,"b(cid:4)(cid:3)(cid:6)(cid:9)(cid:15)(cid:3)!(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)&(cid:24)(cid:10)(cid:7)(cid:8)*",D56,D8,50,39.0,40.0,61.0,61.0,2021,39.5,61.0
DC1,5441,"b(cid:4)(cid:3)(cid:6)(cid:9)(cid:15)(cid:3)!(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)b(cid:5)#(cid:20)(cid:24)(cid:20)(cid:10)(cid:11)(cid:9)*",D8,D56,80,74.0,82.0,84.0,90.0,2021,78.0,87.0
DC2,1203,b(cid:5)(cid:25)(cid:4)(cid:3)(cid:15)(cid:3)(cid:18)9(cid:4)(cid:7)(cid:28)(cid:20)(cid:15)(cid:10)(cid:11)(cid:3)(cid:19)(cid:23)(cid:22)(cid:3),GP,L25001,50,65.0,64.0,75.0,73.0,2021,64.5,74.0
DC2,1208,Majerje,W’(Q],W’(\5,50,60.0,61.0,67.0,68.0,2021,60.5,67.5
DC2,1235,4(cid:4)(cid:3)(cid:16)(cid:31)(cid:7)!(cid:3),L25194,D35,80,91.0,94.0,106.0,109.0,2021,92.5,107.5
DC2,1266,",(cid:20)(cid:10)(cid:11)(cid:3)(cid:19)(cid:3)(cid:18)/(cid:7)(cid:16)(cid:22)(cid:5)(cid:24)(cid:9)(cid:6)(cid:22)(cid:3)",W’(@(,D228,80,89.0,89.0,100.0,100.0,2021,89.0,100.0
DC2,1210,";(cid:3)(cid:4)(cid:3)(cid:28)(cid:21)(cid:7)(cid:19)(cid:18)a(cid:18)(cid:11)(cid:5)#(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)(cid:23)(cid:11)(cid:9)(cid:15)(cid:9)(cid:4)*",D528,D3,70,77.0,79.0,88.0,90.0,2021,78.0,89.0
DC2,1210,";(cid:3)(cid:4)(cid:3)(cid:28)(cid:21)(cid:7)(cid:19)(cid:18)a(cid:18)(cid:11)(cid:5)#(cid:18)+(cid:23)""(cid:11)(cid:9)(cid:4)(cid:18)(cid:11)(cid:5)#*",D3,D528,90,79.0,83.0,90.0,92.0,2021,81.0,91.0
DC2,1244,(cid:27)(cid:4)(cid:19)(cid:20)(cid:15)(cid:9)!(cid:18)/(cid:3)(cid:4)(cid:8)(cid:20)(cid:10)(cid:20)(cid:15)(cid:9)(cid:6)(cid:22)(cid:7),W’(@\,L25082,90,83.0,85.0,95.0,100.0,2021,84.0,97.5
DC2,1307,Ludbreg - zapad,L25094,W’(5@,60,66.0,68.0,73.0,78.0,2021,67.0,75.5
DC2,1323,Koprivnica - jug,D41,D41,70,70.0,71.0,80.0,82.0,2021,70.5,81.0
DC2,1312,",(cid:10)(cid:3)(cid:15)(cid:16)(cid:7)(cid:19)(cid:3)!",L26034,L26100,60,69.0,71.0,80.0,84.0,2021,70.0,82.0
DC2,1403,X(cid:5)(cid:4)$(cid:9)(cid:15)(cid:3)!,W’’Q5,L26112,60,68.0,65.0,78.0,75.0,2021,66.5,76.5
DC2,2201,"9(cid:10)(cid:20)(cid:16)(cid:8)(cid:3)(cid:4)(cid:18),(cid:20)(cid:21)(cid:4)(cid:3)(cid:15)(cid:23)(cid:22)(cid:7)",W’)?@,L40001,50/70,71.0,71.0,84.0,82.0,2021,71.0,83.0
DC2,2217,",(cid:7)(cid:8)(cid:20)""(cid:3)(cid:6)(cid:3)(cid:18)a(cid:18)(cid:7)(cid:23)(cid:8)(cid:20)(cid:22)",WQ((’,L40005,70,62.0,62.0,71.0,72.0,2021,62.0,71.5
DC2,2203,Virovitica,L40020,WQ(’Q,50,69.0,67.0,78.0,77.0,2021,68.0,77.5
DC2,2302,Cabuna,L40034,L40036,70,72.0,71.0,82.0,84.0,2021,71.5,83.0
