year,category,oznaka_ceste,road_number,counter_id,naziv,smjer,pgdp,pldp,od,do,section_desc,length_km,brojenje,lat,lon,od_loc,do_loc,length_km_loc,naziv_loc
2021,DC,DC1,1,1101,Macelj,,2161.0,3029.0,ŽC2258,DC207,Ž2258 - D207,8.9,NAB,46.259363,15.860228,ŽC2258,LC22001,3.0,Macelj
2021,DC,DC1,1,1104,Đurmanec,,4761.0,5288.0,DC207,DC206,D207 - D206,4.7,NAB,46.193698,15.843882,DC207,DC206,4.7,Đurmanec
2021,DC,DC1,1,1122,Čveki,,5215.0,5431.0,DC35,ŽC2158,D35 - Ž2158,2.3,NAB,46.082966,15.91693,DC35,ŽC2159,2.5,Čveki
2021,DC,DC1,1,1146,Sveti Križ Začretje,,5169.0,5196.0,ŽC2158,ŽC2195,Ž2158 - Ž2195,6.0,NAB,46.07782,15.91342,ŽC2158,ŽC2195,6.0,Sveti Križ Začretje
2021,DC,DC1,1,1128,Zabok,,11095.0,11005.0,ŽC2264,DC205,Ž2264 - D205,3.5,PAB,,,,,,
2021,DC,DC1,1,1927,Veliko Trgovišće,,11874.0,12055.0,DC307,ŽC2217,D307 - Ž2217,4.5,NAB,45.99009,15.851,DC307,ŽC2217,4.5,Veliko Trgovišće
2021,DC,DC1,1,1937,Pojatno,,18763.0,18761.0,ŽC3036,A2,Ž3036 - A2,7.2,NAB,45.90432,15.81248,ŽC3036,ŽC2262,4.0,Pojatno
2021,DC,DC1,1,1935,Gornji Stupnik,,7419.0,8867.0,LC31102,ŽC3061,L31102 - Ž3061,1.9,NAB,45.754815,15.822892,LC31102,ŽC3061,1.9,Gornji Stupnik
2021,DC,DC1,1,1929,Klinča Sela,,10801.0,12844.0,ŽC3106,LC31143,Ž3106 - L31143,1.7,NAB,45.690829,15.733237,DC543,LC31143,1.7,Klinča Sela
2021,DC,DC1,1,1928,Izimje,,6786.0,8762.0,ŽC3102,LC31136,Ž3102 - L31136,2.6,NAB,45.63189,15.608176,ŽC3102,LC31136,2.5,Izimje
2021,DC,DC1,1,1954,Lug - jug,jug,5865.0,7777.0,ŽC3146,DC228,Ž3146 - D228,5.7,NAB,45.54327,15.56995,ŽC3146,DC228,5.7,Lug - jug
2021,DC,DC1,1,3114,Karlovac,,25309.0,27797.0,DC228,DC3,D228 - D3,3.9,NAB,,,DC228,DC3,3.9,Karlovac
2021,DC,DC1,1,3101,Tušilović,,9003.0,12912.0,ŽC3188,LC34082,Ž3188 - L34082,3.6,NAB,45.40067,15.613074,DC3,DC6,14.5,Tušilović
2021,DC,DC1,1,3105,Blagaj,,5077.0,8919.0,LC34120,LC34140,L34120 - L34140,11.4,NAB,45.222804,15.55605,LC34120,LC34140,11.4,Blagaj
2021,DC,DC1,1,3106,Slunj,,5912.0,9919.0,LC34140,ŽC3258,L34140 - Ž3258,4.7,NAB,45.125623,15.574179,LC34140,ŽC3258,4.7,Slunj
2021,DC,DC1,1,4313,Sadilovac,,1518.0,2096.0,LC34160,LC59136,L34160 - L59136,6.7,NAB,44.92992,15.70092,LC34160,LC59136,6.7,Sadilovac
2021,DC,DC1,1,4308,Prijeboj - sjeveroistok,,1426.0,2317.0,LC59027,ŽC5201,L59027 - Ž5201,9.3,NAB,44.842105,15.674561,LC59027,DC429,9.3,Prijeboj - sjeveroistok
2021,DC,DC1,1,4302,Prijeboj,,4894.0,11353.0,DC429,LC59045,D429 - L59045,7.9,PAB,44.82998,15.67352,DC429,LC59045,7.9,Prijeboj - jug
2021,DC,DC1,1,4309,Korenica,,5094.0,10315.0,DC52,LC59045,D52 - L59045,2.4,NAB,44.763316,15.691754,DC52,LC59045,2.4,Korenica
2021,DC,DC1,1,4304,Jošan,,3456.0,7863.0,LC59064,ŽC5195,L59064 - Ž5195,12.3,NAB,44.580312,15.744271,LC59064,ŽC5195,12.3,Jošan
2021,DC,DC1,1,4901,Mutilić (Udbina),,1716.0,3461.0,LC59101,LC59117,L59101 - L59117,7.9,NAB,44.496942,15.763978,ŽC5195,LC59117,7.9,Mutilić (Udbina)
2021,DC,DC1,1,4929,Gračac - sjever,sjever,2030.0,3817.0,LC63032,DC27,L63032 - D27,2.1,PAB,,,,,,
2021,DC,DC1,1,4907,Gračac - istok,istok,1943.0,2875.0,DC27,LC63033,D27 - L63033,3.4,NAB,44.298884,15.863217,DC27,LC63033,3.4,Gračac - istok
2021,DC,DC1,1,5002,Pađene,,1650.0,2525.0,LC65008,DC59,L65008 - D59,3.2,NAB,44.056366,16.146651,LC65008,DC59,3.2,Pađene
2021,DC,DC1,1,5010,Stara Straža,,2486.0,3712.0,DC59,LC65004,D59 - L65004,2.3,NAB,44.05843,16.16937,DC59,LC65004,2.3,Stara Straža
2021,DC,DC1,1,5418,Kijevo,,1629.0,2227.0,ŽC6058,ŽC6083,Ž6058 - Ž6083,18.4,NAB,43.983669,16.352127,LC65013,LC65016,2.7,Kijevo
2021,DC,DC1,1,5524,Sinj,,8081.0,8971.0,ŽC6118,DC219,Ž6118 - D219,3.3,NAB,43.720748,16.641355,ŽC6118,DC219,3.3,Sinj
2021,DC,DC1,1,5504,Brnaze,,12012.0,13806.0,DC60,LC67041,D60 - L67041,1.7,NAB,43.679316,16.649053,DC60,LC67041,1.7,Brnaze
